blogspot.com,216.58.193.201
facebook.com,157.240.11.35
msn.com,13.82.28.61
live.com,204.79.197.212
wikipedia.org,198.35.26.96
microsoft.com,104.43.195.251
youtube.com,216.58.193.206
baidu.com,220.181.57.217
qq.com,61.135.157.156
yahoo.com,98.139.180.180
taobao.com,140.205.220.96
bing.com,13.107.21.200
sina.com.cn,202.108.33.107
soso.com,123.126.51.90
163.com,123.58.180.7
adobe.com,192.147.130.204
twitter.com,104.244.42.129
mozilla.com,63.245.213.17
youku.com,106.11.47.20
ask.com,52.44.168.246
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
sdjjdsaf.com,
