andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
facebook.com,31.13.77.36
youtube.com,216.58.192.14
yahoo.com,206.190.39.42
live.com,204.79.197.212
wikipedia.org,198.35.26.96
msn.com,13.82.28.61
baidu.com,123.125.114.144
blogspot.com,216.58.192.9
microsoft.com,191.239.213.197
qq.com,61.135.157.156
taobao.com,140.205.94.189
bing.com,13.107.21.200
sina.com.cn,202.108.33.107
soso.com,118.191.216.42
163.com,123.58.180.8
ask.com,34.200.165.14
adobe.com,192.147.130.204
twitter.com,104.244.42.1
mozilla.com,63.245.213.17
youku.com,106.11.186.1
sdjjdsaf.com,
amazon.com,176.32.98.166
wordpress.com,192.0.78.9
tudou.com,106.11.47.20
yahoo.co.jp,183.79.135.206
sohu.com,220.181.90.20
apple.com,17.172.224.47
hao123.com,123.125.115.150
windows.com,23.96.52.53
ebay.com,66.135.209.52
pps.tv,101.227.188.178
xunlei.com,119.188.108.240
56.com,125.88.156.119
fc2.com,34.215.74.55
paypal.com,64.4.250.33
sogou.com,118.191.216.42
tmall.com,140.205.94.193
ku6.com,106.75.74.243
rakuten.co.jp,133.237.61.176
about.com,151.101.1.121
orkut.com.br,
ifeng.com,210.51.19.63
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.244.22
yandex.ru,5.255.255.70
myspace.com,63.135.90.70
mail.ru,217.69.139.201
cnet.com,64.30.228.118
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.34.21
skype.com,104.40.50.126
ameblo.jp,104.78.132.48
naver.com,202.179.177.22
flickr.com,69.147.92.11
4shared.com,204.155.146.95
amazon.co.jp,52.119.161.5
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,72.21.210.29
aol.com,64.12.249.135
